order_reference,order_status,payment_method,castig_net_lei,ride_distance_km,ride_duration_min,viteza_medie_kmh,to_client_dist_km,to_client_dur_min,order_created_date,order_created_time,pickup_address,destination_address
MzI1LTI1Mzk2Mzc2ODctMzMzOTUwNjQwNQ,finished,in_app,27.8,5.2,13.6,23.0,0.2,0.8,2026-06-05,20:30:52,"Aleea Oltului 2b, 077160 Popești-Leordeni, Romania","Bulevardul Metalurgiei 57-59, Bucharest 042147"
MzI1LTI1Mzk2MjA1NjMtMzMzOTQ3NzI3Mw,finished,cash,13.4,3.5,7.5,27.9,0.4,1.1,2026-06-05,20:18:51,"Strada Anton Bacalbașa 17, Bucureşti 042054","Strada Bateriei 46s, Popești-Leordeni 077160"
MzI1LTI1Mzk1NjU5NzMtMzMzOTM4NjA5Nw,finished,in_app,17.9,4.2,11.6,21.8,1.4,5.2,2026-06-05,19:43:42,"Intrarea Solca 30, Bucureşti","Strada Caporal Ion Gheorghe 9, Bucureşti"
MzI1LTI1Mzk1NDUzMTUtMzMzOTM1MDA5NQ,finished,cash,12.9,2.9,8.5,20.1,0.3,0.5,2026-06-05,19:29:51,"Strada Trompetului 66A, Bucureşti 052277","Strada Motrului 20, Giurgiului, Bucureşti"
MzI1LTI1Mzk1MDMwMDAtMzMzOTI3NTcwOQ,finished,in_app,32.9,7.9,19.6,24.2,1.7,5.7,2026-06-05,19:02:18,"Calea Griviței 176A, Bucureşti 010748","Strada Lacul Orza 13, Bucureşti 052285"
MzI1LTI1Mzk0OTYwNTgtMzMzOTI2MzE0MQ,finished,cash,15.7,1.3,4.0,20.1,0.3,0.5,2026-06-05,18:57:58,Calea Crângași 14,"Strada Prunaru 6, Giulești, Bucureşti"
MzI1LTI1MzgzMDAxMTYtMzMzNzEyNjczNw,finished,business,12.8,2.9,6.2,27.8,0.9,7.3,2026-06-04,22:43:23,"Strada Liviu Rebreanu 30F, Titan - Balta Albă, Bucureşti","Strada Câmpia Libertății 46, București, România"
MzI1LTI1MzgyODA3NzItMzMzNzA4OTM1NQ,finished,in_app,25.0,5.8,11.6,29.9,1.1,4.0,2026-06-04,22:24:45,"Strada Matei Voievod 66bis, Bucureşti 021456","Aleea Onisifor Ghibu 6, Bucureşti 032447"
MzI1LTI1MzgyNDA0OTMtMzMzNzAxMjEzMw,finished,in_app,61.3,16.9,36.4,27.8,0.0,0.2,2026-06-04,21:46:43,"Splaiul Independenței 202D, Bucureşti 060022","Strada Theodor D. Speranția 123, Centrul Civic, Bucureşti"
MzI1LTI1MzgyMjAyNTYtMzMzNjk3NDk5Ng,finished,in_app,22.2,6.7,19.3,20.7,1.2,2.2,2026-06-04,21:26:52,"Strada Piscului 11, Bucureşti 040402","Splaiul Independenței 202H, Bucureşti 060022"
MzI1LTI1MzgxOTI1NzUtMzMzNjkyNTIxOA,finished,cash,16.9,6.0,13.5,26.8,0.6,2.5,2026-06-04,21:00:08,"Calea 13 Septembrie 229, Bucureşti","Stația Metrou Constantin Brâncoveanu, Sectorul 4, Bucureşti"
MzI1LTI1MzgxODE3NjYtMzMzNjkwNjU0OA,finished,in_app,12.8,2.4,7.1,20.8,1.5,2.7,2026-06-04,20:49:38,"Galaxy Entrance, Afi Palace Cotroceni Mall","Strada Novaci 6, Bucureşti 051728"
MzI1LTI1MzgxNjczNDUtMzMzNjg4MDg4NQ,finished,in_app,15.8,5.1,10.1,29.9,0.2,0.6,2026-06-04,20:35:42,"Far Entrance, Afi Palace Cotroceni Mall","Splaiul Independenței 313A, Bucharest 060042"
MzI1LTI1MzgxMjc0NTktMzMzNjgwOTYwNA,finished,in_app,23.3,3.6,11.6,18.7,1.7,4.3,2026-06-04,19:59:41,"Aleea Politehnicii 10, Bucureşti","Bulevardul Timișoara 16B, Bucureşti 061421"
MzI1LTI1MzgxMDM5ODgtMzMzNjc2ODg2Mw,finished,cash,16.9,4.0,14.5,16.7,1.4,5.0,2026-06-04,19:39:13,"Bulevardul Banu Manta 83, Bucureşti","Bingo Chez Gabi, Bulevardul Iuliu Maniu 11, Militari, Bucureşti"
MzI1LTI1MzgwODkyNDItMzMzNjc0MzE5NA,finished,in_app,20.4,3.5,9.3,22.5,0.8,3.0,2026-06-04,19:26:45,"Calea Crângași 29, Bucureşti 060312","Cinema Muzeul Țăranului, Șoseaua Pavel Dimitrievici Kiseleff 3, Sectorul 1, Bucureşti"
MzI1LTI1MzcwNjYwMTItMzMzNDkzMDkxNA,finished,in_app,16.4,6.0,18.0,20.2,1.3,2.7,2026-06-04,00:37:59,"Strada Dumitru Papazoglu 1, Bucureşti","Cămin E, Grozăvești, Bucureşti"
MzI1LTI1MzcwNTAwNTEtMzMzNDg5MDMzMw,finished,cash,12.8,2.3,6.3,21.8,0.8,2.3,2026-06-04,00:21:36,"Strada Schitului 9, Bucureşti 032041","Rainbow, Bulevardul Decebal 14, Centrul Civic, Bucureşti"
MzI1LTI1MzcwMjk3NTktMzMzNDg0MjQzMw,finished,in_app,19.1,5.2,10.4,29.9,1.6,5.8,2026-06-04,00:03:05,"Strada Popa Nan 7, Bucureşti 024075","Strada Lăcrămioarei 54, Vitan, Bucureşti"
MzI1LTI1MzcwMTM5MDUtMzMzNDgwNTUwMA,finished,in_app,25.2,5.3,12.2,26.0,2.8,5.2,2026-06-03,23:48:11,"Calea Victoriei 224, Bucureşti 010099","Șoseaua Iancului 19, Bucureşti 021714"
MzI1LTI1MzY5OTg1NTAtMzMzNDc3MjA3OQ,finished,in_app,12.8,2.2,3.8,34.7,1.8,2.6,2026-06-03,23:32:33,"Strada Dimitrie Grozdea 10, Bucureşti","Șoseaua Pantelimon 3-15, Bucharest, Romania"
MzI1LTI1MzY5NTgzOTQtMzMzNDY4NzIzOQ,finished,cash,40.1,13.0,24.4,32.0,1.1,3.1,2026-06-03,22:53:30,"Strada Benjamin Franklin 1-3, Bucureşti 010287","Strada Prelungirea Gării Cățelu 48, București, România"
MzI1LTI1MzY5MzE0NDItMzMzNDYzNzgxMg,finished,in_app,24.4,7.6,16.4,28.0,2.4,7.6,2026-06-03,22:28:45,"Strada Valea Morii 6A, Bucureşti 014356","Control Club, Strada Constantin Mille, Bucharest, Romania"
MzI1LTI1MzY5MTkxOTYtMzMzNDYwNzU0NQ,finished,cash,20.8,2.8,12.2,13.9,1.6,0.8,2026-06-03,22:14:11,"Bulevardul Pipera 1i, 077190","Metrou Pipera, Bucureşti"
MzI1LTI1MzY4ODIzMTEtMzMzNDUzNDY3Mg,finished,cash,26.5,9.0,18.5,29.1,0.7,2.6,2026-06-03,21:39:18,"Bulevardul General Gheorghe Magheru 1, Bucureşti 010281","Vitamed Beauty, Șoseaua București Nord, Voluntari, Romania"
MzI1LTI1MzY4NjQ3MzUtMzMzNDQ5NzQwNg,finished,in_app,12.8,1.8,5.3,20.3,1.7,2.7,2026-06-03,21:22:19,"Strada Nicolae Leonard 12, Bucureşti 021888","Old Mike, Strada Matei Elina Voievod 67, Sector 2, Bucureşti"
MzI1LTI1MzY4MjQ5MTktMzMzNDQwODYyNA,finished,in_app,35.5,12.6,30.8,24.6,0.1,0.6,2026-06-03,20:47:00,"Bloc A6, Drumul Taberei 65, Bucharest, Romania","Strada Elev Ștefan Ștefănescu 11, Bucharest, Romania"
MzI1LTI1MzY3OTM2MzQtMzMzNDMzNTgzOA,finished,cash,20.3,5.5,14.2,23.4,1.4,2.5,2026-06-03,20:20:29,"Intrare vizitatori, Spitalul Universitar de Urgență București","Str. Pascani 1, Bucureşti 062081"
MzI1LTI1MzY3Nzc2ODMtMzMzNDI5OTQ2Nw,finished,in_app,18.4,3.8,10.4,21.6,1.4,3.0,2026-06-03,20:07:31,"Strada Răsuri 19, Bucureşti","Intrare Dinicu Golescu, Gara de Nord"
MzI1LTI1MzY3NDU0MzUtMzMzNDIyOTY2MQ,finished,in_app,24.9,6.2,15.0,24.8,0.5,1.9,2026-06-03,19:42:22,"Calea Griviței 142, Bucureşti 010741","Strada Teiul Doamnei 1, Bucureşti"
MzI1LTI1MzY3MzI1NDItMzMzNDIwMDMxMg,finished,in_app,14.2,4.1,10.9,22.6,0.3,0.5,2026-06-03,19:32:03,"Bulevardul General Paul Teodorescu 4, Bucureşti 061344","Gara de Nord, Gara de Nord, Bucureşti"
MzI1LTI1MzY3MTU2MDAtMzMzNDE2NTQ4Mw,finished,in_app,20.3,4.5,11.3,23.8,2.6,4.4,2026-06-03,19:19:08,"Strada Inginer Zablovschi 26, Bucureşti","Intrare Galaxy, Afi Palace Cotroceni"
MzI1LTI1MzQzNTY5NDQtMzMyOTg5Njk4MA,finished,cash,14.1,3.7,9.4,23.4,1.7,5.8,2026-06-02,02:19:09,"Calea Victoriei 21, Bucureşti 030023","Șoseaua Nicolae Titulescu 95-103, Bucureşti 011135"
MzI1LTI1MzQzNDM4NDktMzMyOTg3MDQ2NQ,finished,in_app,37.8,16.5,28.1,35.3,1.8,2.8,2026-06-02,01:41:33,"Strada Cristalului 1, Bragadiru 077025","Strada Ritmului 35, Bucureşti 021676"
MzI1LTI1MzQzMzQzNDMtMzMyOTg1MTQyNA,finished,business,38.7,12.0,17.1,42.3,2.9,7.1,2026-06-02,01:19:24,Strada Luterană 2,Strada Năzuinței 10
MzI1LTI1MzQzMTk3MzItMzMyOTgxNzQzNA,finished,cash,21.9,3.8,9.0,25.4,1.5,13.9,2026-06-02,00:49:22,"Strada George Enescu 27, Bucureşti 010303","Strada Vânători 5-11, Centrul Civic, Bucureşti"
MzI1LTI1MzQzMDk0NjctMzMyOTc5MTIwNw,finished,cash,15.8,4.5,14.8,18.3,1.5,2.0,2026-06-02,00:31:38,"Șoseaua Pantelimon 111, Bucureşti 021597","Control Club, Sector 1, Bucureşti"
MzI1LTI1MzQyOTkxNDgtMzMyOTc2NTE3MA,finished,cash,22.7,4.0,12.0,20.0,1.4,2.4,2026-06-02,00:15:13,"Bulevardul Carol I 54, Bucureşti 020925","Strada Ziduri Între Vii 19, Bucureşti"
MzI1LTI1MzQyODc3NDctMzMyOTczNjg4OA,finished,business,18.4,1.6,3.9,24.7,1.7,5.7,2026-06-01,23:59:21,"Sheraton Bucharest Hotel, Sheraton Bucharest Hotel","Strada Toamnei 103, Sector 2, Bucureşti"
MzI1LTI1MzQyNzczODgtMzMyOTcxMDA5OA,finished,in_app,25.9,4.2,8.5,29.6,0.9,1.1,2026-06-01,23:44:38,"Calea Șerban Vodă 34, Bucureşti 040212","Str. Dr. Felix Iacob 7, Bucharest 011031"
MzI1LTI1MzQyNTExMDUtMzMyOTY0ODU3Mw,finished,in_app,47.9,8.8,19.3,27.4,1.5,3.4,2026-06-01,23:11:55,"Intrarea principala, Gara de Nord","Bulevardul Alexandru Obregia 2, Bucureşti 041733"
MzI1LTI1MzQyMzcxMTktMzMyOTYxMzE3Mw,finished,in_app,19.1,4.5,11.6,23.4,2.7,4.6,2026-06-01,22:54:57,"Calea Victoriei 1-5, Bucureşti 030021","Str. Teodosie Rudeanu 12, Bucureşti 011258"
MzI1LTI1MzQyMDk3OTYtMzMyOTU1MjUyOA,finished,cash,17.2,4.2,7.3,34.8,1.7,4.5,2026-06-01,22:23:57,"Splaiul Unirii 162, Bucureşti 040042","Bulevardul Metalurgiei 7-11, Bucureşti 041831"
MzI1LTI1MzQxOTU0MzItMzMyOTUyMTEzNg,finished,cash,18.7,6.9,16.1,25.9,1.6,3.0,2026-06-01,22:08:28,"Strada Acțiunii 81, Bucureşti","Strada Ion Minulescu 67-93, Flaros"
MzI1LTI1MzQxNzczNDYtMzMyOTQ4Mjc2MA,finished,in_app,36.8,7.8,15.4,30.2,1.4,2.3,2026-06-01,21:50:11,"Bulevardul Profesor Doctor Gheorghe Marinescu 53, București 061344",Strada Alexandru Anghel 1B
MzI1LTI1MzQxNTMxOTgtMzMyOTQzMjk3Mg,finished,cash,22.4,5.0,11.5,25.9,1.0,3.2,2026-06-01,21:23:13,"Șoseaua Olteniței 44, Bucureşti 041316","Iesire Cobadin, Parc Sebastian"
MzI1LTI1MzQxNDA3NDItMzMyOTQwODUxNw,finished,cash,28.0,4.7,10.2,27.9,2.6,5.5,2026-06-01,21:10:42,"Bulevardul Eroilor 33, București","Eroii Revoluției, Sector 4, Bucureşti"
MzI1LTI1MzQxMjgyNzctMzMyOTM4NDIxMQ,finished,in_app,28.4,5.5,10.3,32.3,1.1,1.9,2026-06-01,20:58:05,"Strada Mircea Vulcănescu 97, Bucureşti","ibis Bucharest Politehnica, Splaiul Independenței 313A, Militari, Bucureşti"
MzI1LTI1MzQwOTg2MTYtMzMyOTMyNTkwOA,finished,in_app,21.8,3.9,10.5,22.1,0.7,2.5,2026-06-01,20:27:39,"Bulevardul Iancu de Hunedoara 2, Bucureşti 010673","Strada Inginerilor Tei 4, Bucureşti 023717"
MzI1LTI1MzQwODUwNDEtMzMyOTI5OTQ3NA,finished,cash,16.4,3.8,9.8,23.3,1.5,2.9,2026-06-01,20:14:20,"Strada Cașin 28, Bucureşti","Strada Doctor Iacob Felix 32, Sector 1, Bucureşti"
MzI1LTI1MzQwNjYwNTgtMzMyOTI2MjkwNA,finished,in_app,14.9,3.9,13.1,18.1,1.9,5.3,2026-06-01,19:57:35,"Strada Avionului 11, Bucureşti","Str. Alexandru Constantinescu 35, Domenii, Bucureşti"
MzI1LTI1MzQwMjUxOTYtMzMyOTE4MDg5NA,finished,cash,38.2,10.7,25.7,25.0,0.8,2.5,2026-06-01,19:21:00,"Strada Soldat Coman Ion 23, Bucureşti 051073","Ilie Nastase Tennis Academy, Strada Țărmului, Aviației, Bucureşti"
MzI1LTI1MzQwMTYzNzYtMzMyOTE2MTYxMg,finished,in_app,15.1,3.6,8.3,26.0,1.2,2.2,2026-06-01,19:13:16,"Strada Nehoiași 64, Bucureşti","Strada Topolnița 10, Bucureşti"
MzI1LTI1MzQwMDA3MjItMzMyOTEzMTEyNw,finished,cash,12.8,2.4,7.8,18.5,0.5,2.9,2026-06-01,19:00:21,"Lidl, Drumul Găzarului 1, Giurgiului, Bucureşti","Strada Zăbrăuțului 13, Bucureşti"
MzI1LTI1MzM5Njg4NjEtMzMyOTA2ODY1NA,finished,in_app,46.4,8.9,23.3,23.0,0.3,1.1,2026-06-01,18:33:41,"Gara Basarab, Gara Basarab, Crîngași","Str. Ghimpati 17, Bucureşti 040751"
MzI1LTI1MzI5MDQ0ODMtMzMyNzAwMTIyNw,finished,in_app,22.4,6.1,9.2,39.3,1.9,2.0,2026-05-31,22:58:07,"Șoseaua Grozăvești 84, Bucureşti","Strada Lizeanu 19, Bucureşti 021111"
MzI1LTI1MzI4NTI0MzUtMzMyNjg5NTYwNg,finished,business,78.8,20.2,39.9,30.4,1.3,3.8,2026-05-31,22:07:59,"Drumul Sării 150, 13 Septembrie, Bucureşti","Strada Ierbei 2, Militari, Bucureşti"
MzI1LTI1MzI4MjU0MzktMzMyNjg0MjgyNg,finished,cash,22.4,6.9,15.2,27.5,1.3,1.2,2026-05-31,21:43:19,"Subway entrance, Northern Railway Station","Strada Râul Doamnei 5, Bucureşti 061762"
MzI1LTI1MzI4MDc2MTgtMzMyNjgwNzU0Mg,finished,in_app,12.8,3.8,11.0,20.6,0.1,1.2,2026-05-31,21:26:05,"Strada Hepiteș Ștefan 22, Bucureşti","Str. Serg. Ion Nutu 44, Bucureşti"
MzI1LTI1MzI3ODk2NjgtMzMyNjc3MzM4Nw,finished,in_app,13.9,3.4,6.0,34.2,1.1,3.3,2026-05-31,21:08:54,"Strada Trestiana 11, Bucureşti 040374","Șoseaua Olteniței 63, Bucureşti"
MzI1LTI1MzI3Nzc5NjItMzMyNjc1MTAxOA,finished,in_app,26.5,4.9,9.1,32.3,0.7,1.2,2026-05-31,20:57:38,"Calea Plevnei 133, Bucureşti 010225","B-dul. Gheorghe Sincai 11, Bucureşti 040313"
MzI1LTI1MzI3NjA0NDQtMzMyNjcxODM4Ng,finished,in_app,12.8,3.7,10.6,20.6,0.0,0.2,2026-05-31,20:41:04,"Galaxy Entrance, Afi Palace Cotroceni Mall","Strada Știrbei Vodă 164, Bucharest"
MzI1LTI1MzI3NDk5MTItMzMyNjY5ODQwOQ,finished,in_app,14.9,4.1,6.9,35.8,1.2,3.1,2026-05-31,20:30:52,"Bulevardul Aviatorilor 8, Bucureşti 011861","Galaxy Entrance, Afi Palace Cotroceni Mall"
MzI1LTI1MzI3Mzc2NjEtMzMyNjY3MzQ4OQ,finished,in_app,12.8,2.7,7.2,22.7,0.7,1.8,2026-05-31,20:19:07,"Strada Făinari 55, Bucureşti 021222","Raiffeisen Bank, Piața Dorobanților, Bucharest, Romania"
MzI1LTI1MzI3MTA4NTQtMzMyNjYxNzY4Nw,finished,cash,21.4,6.6,14.6,27.1,0.5,2.1,2026-05-31,19:54:35,"Strada Lucăcești 31, Bucureşti 060244","Str. Episcopul Radu 37, Bucureşti"
MzI1LTI1MzE1OTMzOTgtMzMyNDQxMjkwNA,finished,in_app,18.1,5.1,12.4,24.5,1.0,2.8,2026-05-31,01:29:10,"Calea Griviței 55, Bucureşti 010704","Strada Măgura Vulturului 70, Bucharest"
MzI1LTI1MzE1NTAwMzUtMzMyNDMyNjc4Mg,finished,cash,24.4,4.7,10.8,26.2,1.1,1.9,2026-05-31,01:10:01,"Strada Armenească 45, Bucureşti 021043","Strada Barierei 17A, Bucureşti 010943"
MzI1LTI1MzE0ODM3MTQtMzMyNDIwMjM5MQ,finished,cash,21.1,5.4,9.0,36.0,4.7,9.5,2026-05-31,00:42:08,"Strada Cuiului 54A, Bucureşti","Strada Sighet 65A, Bucureşti"
MzI1LTI1MzE0NDExNjItMzMyNDEyNzMwNg,finished,in_app,14.9,4.2,5.9,42.8,6.5,9.1,2026-05-31,00:24:02,"Strada Someș 2b, Voluntari 077190","Strada Caporal Mușat 43, Voluntari, România"
MzI1LTI1MzEzODQ1NTItMzMyNDAyNzQ0Mw,finished,cash,59.9,16.1,24.7,39.2,0.1,0.8,2026-05-30,23:59:02,"Strada Gabroveni 61, Bucureşti 030087","Str. Castanului 10, Crețuleasca"
MzI1LTI1MzEzNDQ0NjItMzMyMzk1ODg2MA,finished,in_app,16.8,5.3,12.0,26.4,0.7,0.9,2026-05-30,23:40:19,"Strada Mărgeanului 134, Bucureşti","Piața Roma / Strada Lipscani, Centrul Vechi"
MzI1LTI1MzEyNjE5NjctMzMyMzgyMzIwMQ,finished,in_app,88.4,15.5,22.1,42.1,0.9,0.9,2026-05-30,23:01:32,"Splaiul Independenței 307A, Bucureşti","La Jan Restaurant, Strada București, Vârteju, România"
MzI1LTI1MzEyMjk0NzUtMzMyMzc2NTQyNA,finished,in_app,27.5,6.5,13.1,29.7,0.5,2.1,2026-05-30,22:44:44,"Strada Știrbei Vodă 18-16, Bucureşti","Șos. Virtuții 60a, București"
MzI1LTI1MzExODY2MDMtMzMyMzY4NDAzMg,finished,in_app,27.1,4.7,12.5,22.8,0.4,1.2,2026-05-30,22:21:28,"Splaiul Independenței 253-257, Bucureşti 060042","Casa Fratelli, Strada Nicolae Golescu, București, România"
MzI1LTI1MzExNTIxMDAtMzMyMzYxNjgzNA,finished,in_app,18.1,4.7,12.8,22.2,0.7,2.0,2026-05-30,22:03:24,"Bulevardul Libertății 22, Bucureşti","Str. Economu Cezărescu 61a, Bucharest, Romania"
MzI1LTI1MzEwOTM3MzgtMzMyMzUxMjY3MA,finished,in_app,18.8,5.8,14.8,23.5,0.6,1.8,2026-05-30,21:21:09,"Strada Răsăritului 6, Militari, Bucureşti","Calea 13 Septembrie 79, Bucureşti"
MzI1LTI1MzEwNjQ1OTAtMzMyMzQ2MDA1Ng,finished,in_app,21.3,4.7,11.2,25.2,1.9,3.5,2026-05-30,21:00:48,"Strada Mehadia 59, Bucureşti","Intrarea Crainicului 5, Militari, Bucureşti"
MzI1LTI1Mjk2NjU0NTAtMzMyMDY0NDc4NA,finished,in_app,36.2,9.4,20.2,28.0,2.0,5.0,2026-05-30,00:52:18,"Strada Vlad Județu 4, Bucureşti 031307","Bulevardul Timișoara 16B, Bucureşti 061421"
MzI1LTI1Mjk2NDE3ODEtMzMyMDU4OTYxNQ,finished,in_app,44.2,6.5,14.2,27.4,1.2,1.8,2026-05-30,00:35:51,"Strada Colței 2, Bucureşti 030246","Strada Șapte Drumuri 18, Titan - Balta Albă, Bucureşti"
MzI1LTI1Mjk2MTAwNTctMzMyMDUyNzI5Mw,finished,in_app,23.1,3.5,6.8,30.4,1.7,4.3,2026-05-30,00:15:58,"AFI Park 2, Afi Palace Cotroceni Mall","Strada Năsăud 95, Bucureşti"
MzI1LTI1Mjk1OTA0MDgtMzMyMDQ4OTE2Mg,finished,in_app,26.6,4.4,10.8,24.4,0.5,2.5,2026-05-30,00:03:57,"Strada Halelor 1, Bucureşti","Strada Economu Cezărescu 47, Bucureşti 060754"
MzI1LTI1Mjk1NTM4ODItMzMyMDQxOTA2OA,finished,cash,35.2,5.4,10.7,30.5,2.5,3.4,2026-05-29,23:41:15,"Șoseaua Ștefan cel Mare 2, Bucureşti 011737","Strada Traian Popovici 130, Bucureşti"
MzI1LTI1Mjk1NDE4MzItMzMyMDM5NzEzMA,finished,business,26.2,1.5,4.6,19.0,0.7,2.8,2026-05-29,23:33:21,"Calea Plevnei 141, Grozăvești, Bucureşti","Strada Petru Rareș 28, Bucureşti"
MzI1LTI1Mjk1MDY0OTUtMzMyMDMzMjEwOQ,finished,in_app,44.9,6.9,14.7,28.3,1.8,2.5,2026-05-29,23:09:31,"Strada Ion Slătineanu 12, Bucureşti 010602","Drumul Taberei 35, Bucureşti"
MzI1LTI1MjkzNTMxNDktMzMyMDA3MzA3MA,finished,in_app,41.5,16.5,25.9,38.0,0.0,0.2,2026-05-29,21:19:08,"Departures Terminal, Bucharest Henri Coanda Airport (OTP)","Strada Ghiocei 27, Bucureşti 020571"
MzI1LTI1MjkzMjgzNDctMzMyMDAyNDMxNg,finished,in_app,44.3,12.9,16.6,46.9,2.5,5.7,2026-05-29,20:59:40,"Blvd. Pipera 168a, 077191","Departures Terminal, Bucharest Henri Coanda Airport (OTP)"
MzI1LTI1MjkyODM2NzUtMzMxOTk0MjU2NQ,finished,cash,44.9,11.1,31.3,21.3,1.7,3.0,2026-05-29,20:28:19,"Princess Club, Strada Sergent Constantin Ghercu 14, Regie, Bucureşti","Str. Erou Nita Pintea 5, Pipera, Voluntari"
MzI1LTI1MjgwNDY2MzMtMzMxNzY2NDI1MA,finished,in_app,28.4,9.1,15.8,34.5,2.3,5.9,2026-05-29,02:45:08,"Strada Șelari 2, Bucureşti","Novum Residence Lacul Morii, Drumul Mânăstirea Văratec 7-11, Bucureşti"
MzI1LTI1MjgwMzg5NDYtMzMxNzY0ODUyMg,finished,in_app,24.9,5.4,13.1,24.9,0.4,0.4,2026-05-29,02:27:36,"Strada Mihail Moxa 16, Bucureşti","Bulevardul Mircea Vodă 39, Nerva Traian, Bucureşti"
MzI1LTI1MjgwMzI3NDYtMzMxNzYzNjUwOA,finished,in_app,21.2,3.7,8.5,26.1,2.2,6.8,2026-05-29,02:15:25,"Manuc's Inn, Old Town","Strada Mihail Moxa 11, Bucureşti 010961"
MzI1LTI1MjgwMjUxMTctMzMxNzYyMDg3OQ,finished,in_app,14.2,3.8,10.3,22.1,1.1,4.5,2026-05-29,02:02:05,"Strada Paul Orleanu 6, Bucureşti","Str. Viorele 95, Bucureşti 040425"
MzI1LTI1MjgwMTA5MjEtMzMxNzU4ODQ1MA,finished,business,21.3,7.7,17.2,27.0,2.2,3.8,2026-05-29,01:37:53,Bulevardul Dimitrie Pompeiu 6E,"Old Town, Manuc's Inn"
