order_reference,payment_method,order_status,order_price_net_earnings,ride_distance,to_client_distance,total_ride_distance,lei_per_km_total,lei_per_km_ride,ride_duration,to_client_duration,total_ride_duration,lei_per_min_total,lei_per_min_ride,order_created_date,order_created_time,order_accepted_date,order_accepted_time,order_pickup_date,order_pickup_time,order_drop_off_date,order_drop_off_time,order_finished_date,order_finished_time,payment_confirmed_date,payment_confirmed_time,pickup_address,destination_address,order_cancelled_date,order_cancelled_time,order_no_show_date,order_no_show_time,order_stops,order_price_ride_price,order_price_commission,order_price_in_app_discount,order_price_booking_fee,order_price_cancellation_fee,order_price_cash_discount,order_price_tip,order_price_toll_fee,is_scheduled,price_review_reason,driver_cancelled_reason,category_info_name,category_info_vehicle_type,category_info_seats,vehicle_model
MzI1LTI0MTE0MDE4NzEtMzEyMTU1MjU4Mg,business,client_cancelled,,,1.296,,,,,,,,,06-03-26,11:59:48,06-03-26,11:59:57,,,,,,,,,"Bulevardul Ion Mihalache 62, Bucureşti 011195","Str. Mehedinti Simion 1, Crângași, Bucureşti",06-03-26,12:00:10,,,"[{""lat"": 44.458729, ""lng"": 26.077294, ""address"": ""Bulevardul Ion Mihalache 62, Bucureşti 011195"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.457802, ""lng"": 26.048271, ""address"": ""Str. Mehedinti Simion 1, Crângași, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0NzIxNDg3NjEtMzIxODgyNjQ5Mw,cash,client_cancelled,,,4.163,,,,,,,,,19-04-26,21:29:22,19-04-26,21:29:30,,,,,,,,,"Strada Buclei 1, Bucureşti","Strada Academiei, Centrul Vechi",19-04-26,21:29:53,,,"[{""lat"": 44.476552, ""lng"": 26.020865, ""address"": ""Strada Buclei 1, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.433631, ""lng"": 26.099623, ""address"": ""Strada Academiei, Centrul Vechi"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MzQxOTAzMzUtMzMyOTUwOTQyOQ,cash,client_cancelled,,,1.05,,,,,,,,,01-06-26,22:03:29,,,,,,,,,,,"MaxBet Giurgiului 121, Șoseaua Giurgiului, București, România","Strada Vâltoarei, București, România",01-06-26,22:03:31,,,"[{""lat"": 44.38749, ""lng"": 26.09252, ""address"": ""MaxBet Giurgiului 121, Șoseaua Giurgiului, București, România"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.390851, ""lng"": 26.078386, ""address"": ""Strada Vâltoarei, București, România"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTQ0NjMzMzItMzI5MjAxODk5Nw,in_app,client_cancelled,,,2.347,,,,,,,,,19-05-26,23:34:33,19-05-26,23:34:39,,,,,,,,,"Strada Trestiana 2, Bucureşti","Strada Peneș Curcanul 13, Bucureşti",19-05-26,23:35:03,,,"[{""lat"": 44.414285, ""lng"": 26.106847, ""address"": ""Strada Trestiana 2, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.413314, ""lng"": 26.126128, ""address"": ""Strada Peneș Curcanul 13, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MTc1OTcyOTYtMzEzMTU3ODg4Nw,business,client_cancelled,,,0.836,,,,,,,,,10-03-26,19:22:21,10-03-26,19:22:28,,,,,,,,,"Bulevardul Unirii 25-27, Bucureşti 040103","Palatul Național al Copiilor, Sector 4, Bucureşti",10-03-26,19:22:34,,,"[{""lat"": 44.427463, ""lng"": 26.100858, ""address"": ""Bulevardul Unirii 25-27, Bucureşti 040103"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.409217, ""lng"": 26.112972, ""address"": ""Palatul Național al Copiilor, Sector 4, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1Mjk1NDEzNDUtMzMyMDM5NjI2NA,cash,client_cancelled,,,2.538,,,,,,,,,29-05-26,23:33:05,,,,,,,,,,,"Strada Maior Câmpeanu Alexandru 43, Bucureşti","Strada Domnița Ruxandra 28, Bucureşti 020562",29-05-26,23:33:11,,,"[{""lat"": 44.456098, ""lng"": 26.075636, ""address"": ""Strada Maior Câmpeanu Alexandru 43, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.44934, ""lng"": 26.109671, ""address"": ""Strada Domnița Ruxandra 28, Bucureşti 020562"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MzU2MjkwNzQtMzE1OTY4NTkyNw,in_app,client_cancelled,,,0.349,,,,,,,,,23-03-26,23:17:14,23-03-26,23:17:18,,,,,,,,,"Bulevardul Alexandru Obregia 4, Bucureşti 041733","Șoseaua Colentina 3B, Bucureşti",23-03-26,23:18:02,,,"[{""lat"": 44.387262, ""lng"": 26.117053, ""address"": ""Bulevardul Alexandru Obregia 4, Bucureşti 041733"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.452387, ""lng"": 26.126318, ""address"": ""Șoseaua Colentina 3B, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MDU1MDE2NzgtMzI3NjAyNjUwMA,in_app,client_cancelled,,,4.282,,,,,,,,,14-05-26,0:42:08,14-05-26,0:42:17,,,,,,,,,"Splaiul Independenței 202M, București 060011","Strada Ceahlăul 14, Bucharest",14-05-26,0:42:24,,,"[{""lat"": 44.442495, ""lng"": 26.068431, ""address"": ""Splaiul Independenței 202M, București 060011"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.455396, ""lng"": 26.050552, ""address"": ""Strada Ceahlăul 14, Bucharest"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0Mzc0MTk3MDctMzE2MjM1ODY4NA,in_app,client_cancelled,,,0.895,,,,,,,,,25-03-26,13:22:18,25-03-26,13:22:27,,,,,,,,,"Șoseaua Ștefan cel Mare 41, Bucureşti 020133","Banca Transilvania, Bulevardul Lacul Tei 109, Tei, Bucureşti",25-03-26,13:22:52,,,"[{""lat"": 44.450344, ""lng"": 26.12406, ""address"": ""Șoseaua Ștefan cel Mare 41, Bucureşti 020133"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.461809, ""lng"": 26.118686, ""address"": ""Banca Transilvania, Bulevardul Lacul Tei 109, Tei, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTU3NjQ3NzktMzI5NDI4NzE5Mw,cash,client_cancelled,,,1.53,,,,,,,,,20-05-26,22:30:12,,,,,,,,,,,"Bulevardul Timișoara 18, Bucureşti 061329","Strada Căpitan Radu Constantin 8, Ferentari, Bucureşti",20-05-26,22:30:18,,,"[{""lat"": 44.427968, ""lng"": 26.038248, ""address"": ""Bulevardul Timișoara 18, Bucureşti 061329"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.391436, ""lng"": 26.085376, ""address"": ""Strada Căpitan Radu Constantin 8, Ferentari, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0ODU2NTU1MjItMzI0MTE3MDI3NA,cash,client_cancelled,,,1.221,,,,,,,,,29-04-26,22:30:35,29-04-26,22:30:41,,,,,,,,,"Strada Odei 178, Bucureşti","Therme, Therme",29-04-26,22:30:48,,,"[{""lat"": 44.375006, ""lng"": 26.112356, ""address"": ""Strada Odei 178, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.605864, ""lng"": 26.08543, ""address"": ""Therme, Therme"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Pet,car,3,Volkswagen Touran
MzI1LTI0NTU0MDI5NDEtMzE5MDg1MjA2Mw,cash,client_cancelled,,,1.208,,,,,,,,,07-04-26,22:01:22,07-04-26,22:01:31,,,,,,,,,"Aleea Vicina 5, Rahova, Bucureşti","Aleea Vicina 5, Rahova, Bucureşti",07-04-26,22:07:07,,,"[{""lat"": 44.40761, ""lng"": 26.071301, ""address"": ""Aleea Vicina 5, Rahova, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.425983, ""lng"": 26.096109, ""address"": ""Arestul Central Politia Capitalei, Strada George Georgescu 1-3, Centrul Civic, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""waypoint""}, {""lat"": 44.398182, ""lng"": 26.082545, ""address"": ""Strada Trompetului 4, Ferentari, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""waypoint""}, {""lat"": 44.40761, ""lng"": 26.071301, ""address"": ""Aleea Vicina 5, Rahova, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0NzA4NzY3ODQtMzIxNjQ3MzAxMQ,cash,client_cancelled,,,1.705,,,,,,,,,19-04-26,0:01:31,19-04-26,0:01:37,,,,,,,,,"Strada Jean Louis Calderon 38, Bucureşti","Socului Kebap Obor, Obor, Bucureşti",19-04-26,0:03:14,,,"[{""lat"": 44.439833, ""lng"": 26.104851, ""address"": ""Strada Jean Louis Calderon 38, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.449702, ""lng"": 26.123574, ""address"": ""Socului Kebap Obor, Obor, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MjcxOTg3NDYtMzE0NjYxMzk2Mg,in_app,client_cancelled,,,0.651,,,,,,,,,17-03-26,20:58:04,17-03-26,20:58:10,,,,,,,,,"Strada Rezervelor 24, Roșu 077042","Statia de autobuz, Facultatea de Electronică, Telecomunicații și Tehnologia Informației",17-03-26,20:58:25,,,"[{""lat"": 44.448941, ""lng"": 25.990885, ""address"": ""Strada Rezervelor 24, Roșu 077042"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.434401, ""lng"": 26.05531, ""address"": ""Statia de autobuz, Facultatea de Electronică, Telecomunicații și Tehnologia Informației"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MjgwMzE5ODQtMzMxNzYzNTMwOA,in_app,client_cancelled,,,2.35,,,,,,,,,29-05-26,2:14:17,29-05-26,2:14:31,,,,,,,,,"Strada Halelor 1, Bucureşti","Strada Lucrețiu Pătrășcanu 9, Bucureşti 030504",29-05-26,2:14:51,,,"[{""lat"": 44.429442, ""lng"": 26.100372, ""address"": ""Strada Halelor 1, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.434078, ""lng"": 26.168225, ""address"": ""Strada Lucrețiu Pătrășcanu 9, Bucureşti 030504"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTg4OTg5NTItMzI5OTkwMTI0OQ,in_app,client_cancelled,,,1.588,,,,,,,,,23-05-26,0:00:48,23-05-26,0:00:58,,,,,,,,,"Diplomatic Club of Bucharest, King Mihai I Park of Romania","Str. Pastorului 62, Bucureşti 020349",23-05-26,0:01:30,,,"[{""lat"": 44.484757, ""lng"": 26.07953, ""address"": ""Diplomatic Club of Bucharest, King Mihai I Park of Romania"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.461817, ""lng"": 26.110146, ""address"": ""Str. Pastorului 62, Bucureşti 020349"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MjY0ODg1MTAtMzMxNDc4NDU5NA,in_app,client_cancelled,,,2.627,,,,,,,,,28-05-26,0:32:07,28-05-26,0:32:14,,,,,,,,,"Strada Toma Caragiu 1, Bucureşti","Strada Dornei 77, Sector 1, București",28-05-26,0:32:32,,,"[{""lat"": 44.435195, ""lng"": 26.101348, ""address"": ""Strada Toma Caragiu 1, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.471563, ""lng"": 26.048239, ""address"": ""Strada Dornei 77, Sector 1, București"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Priority,car,3,Volkswagen Touran
MzI1LTI0MTg0MDM5MzItMzEzMjgzODg5OA,in_app,client_cancelled,,,0.004,,,,,,,,,11-03-26,13:23:35,11-03-26,13:23:40,,,,,,,,,"Bulevardul Unirii 8, Bucureşti 040105","Facultatea de Sociologie și Asistență Socială, Bulevardul Schitu Măgureanu 9, Sector 1, Bucureşti",11-03-26,13:24:19,,,"[{""lat"": 44.426431, ""lng"": 26.095477, ""address"": ""Bulevardul Unirii 8, Bucureşti 040105"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.435208, ""lng"": 26.089013, ""address"": ""Facultatea de Sociologie și Asistență Socială, Bulevardul Schitu Măgureanu 9, Sector 1, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MzI3NjAwODAtMzMyNjcxNzMyNA,in_app,client_cancelled,,,0,,,,,,,,,31-05-26,20:40:35,,,,,,,,,,,"Intrare Galaxy, Afi Palace Cotroceni","Strada Mărțișor 38D, Bragadiru, România",31-05-26,20:40:39,,,"[{""lat"": 44.431716, ""lng"": 26.05424, ""address"": ""Intrare Galaxy, Afi Palace Cotroceni"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.399252, ""lng"": 25.995869, ""address"": ""Strada Mărțișor 38D, Bragadiru, România"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTg3MzMxNjktMzI5OTYwNDAyMg,cash,client_cancelled,,,0.992,,,,,,,,,22-05-26,22:07:25,22-05-26,22:07:35,,,,,,,,,"Bulevardul Gării Obor 14, Bucureşti","Strada Cătănoaia 31, 23 August, Bucureşti",22-05-26,22:08:10,,,"[{""lat"": 44.447215, ""lng"": 26.14196, ""address"": ""Bulevardul Gării Obor 14, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.425129, ""lng"": 26.214076, ""address"": ""Strada Cătănoaia 31, 23 August, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MjgwNDY0MjAtMzMxNzY2MzU2NQ,cash,client_cancelled,,,1.751,,,,,,,,,29-05-26,2:44:20,29-05-26,2:44:34,,,,,,,,,"Arogant, Piața Alba Iulia 8, Centrul Civic, Bucureşti","Strada Moților 15B, Vitan, Bucureşti",29-05-26,2:44:53,,,"[{""lat"": 44.42483, ""lng"": 26.128347, ""address"": ""Arogant, Piața Alba Iulia 8, Centrul Civic, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.412645, ""lng"": 26.124755, ""address"": ""Strada Moților 15B, Vitan, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTg4OTgyNDMtMzI5OTkwMzM0Mg,in_app,client_cancelled,,,4.635,,,,,,,,,23-05-26,0:01:34,23-05-26,0:01:42,,,,,,,,,"Bucharest, Romania","Aleea Fizicienilor 18, Bucharest",23-05-26,0:03:44,,,"[{""lat"": 44.478161, ""lng"": 26.08553, ""address"": ""Bucharest, Romania"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.41236, ""lng"": 26.154882, ""address"": ""Aleea Fizicienilor 18, Bucharest"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0NjcyOTM1MDAtMzIxMDQ0NTI1Mw,cash,client_cancelled,,,1.779,,,,,,,,,16-04-26,18:12:38,16-04-26,18:12:42,,,,,,,,,"Șoseaua Virtuții 18, Bucureşti","Intrare Galaxy, Afi Palace Cotroceni",16-04-26,18:12:48,,,"[{""lat"": 44.440162, ""lng"": 26.035062, ""address"": ""Șoseaua Virtuții 18, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.431716, ""lng"": 26.05424, ""address"": ""Intrare Galaxy, Afi Palace Cotroceni"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI1MTA2ODA2MjctMzI4NTM0Mjg5MA,cash,client_cancelled,,,1.932,,,,,,,,,17-05-26,4:20:20,,,,,,,,,,,"Strada Liviu Rebreanu 37D, Bucureşti","Power Residence, Strada Piersicului 6",17-05-26,4:20:22,,,"[{""lat"": 44.423823, ""lng"": 26.17649, ""address"": ""Strada Liviu Rebreanu 37D, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.471095, ""lng"": 26.175477, ""address"": ""Power Residence, Strada Piersicului 6"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
MzI1LTI0MDczMTQ1MjUtMzExNTUzMjg3MQ,in_app,client_cancelled,,,0.902,,,,,,,,,03-03-26,1:04:51,03-03-26,1:05:02,,,,,,,,,"Strada Fabrica de Chibrituri 36, Bucureşti","Aleea Deleni 8, Tei, Bucureşti",03-03-26,1:05:23,,,"[{""lat"": 44.414678, ""lng"": 26.08865, ""address"": ""Strada Fabrica de Chibrituri 36, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""pickup""}, {""lat"": 44.459085, ""lng"": 26.121393, ""address"": ""Aleea Deleni 8, Tei, Bucureşti"", ""real_lat"": null, ""real_lng"": null, ""type"": ""dropoff""}]",,,,,,,,,FALSE,,,Bolt,car,3,Volkswagen Touran
